cloudiness,country,date,max_temp,lat,lng,wind_speed,city_name
31,RU,1631672414,49.87,69.3,139.9,3.4,Deputatsky
1,US,1631672415,76.59,31.4677,-97.1147,1.99,Robinsonville
1,CA,1631672417,53.69,54.3161,-130.3201,4.61,Prince Rupert
67,PG,1631672418,79.93,-10.6167,150.6667,14.56,Samarai
0,AR,1631672419,37.45,-51.6226,-69.2181,21.85,Río Gallegos
64,TC,1631672421,82.67,21.4612,-71.1419,12.06,Cockburn Town
1,US,1631672422,83.98,28.4058,-80.6048,3.44,Cape Canaveral
100,NG,1631672423,72.82,9.9022,4.4192,4.7,Wawa
0,BR,1631672425,73.63,-16.2781,-39.0247,6.91,Santa Cruz Cabrália
75,CA,1631672426,49.59,58.8053,-122.7002,5.75,Fort Nelson
20,BR,1631672427,74.19,-21.4803,-56.1381,7.45,Jardim
75,CA,1631672429,44.06,50.2001,-66.3821,2.3,Sept-Îles
56,PE,1631672431,61.34,-11.0964,-77.6139,11.14,Hualmay
0,AU,1631672434,77.47,-27.0797,153.1586,7.61,Bongaree
2,GL,1631672435,35.06,65.4167,-52.9,9.33,Maniitsoq
0,TR,1631672437,61.27,38.7507,40.5603,1.92,Genç
2,US,1631672440,61.57,40.8021,-124.1637,1.99,Eureka
55,AO,1631672441,70.84,-11.2061,13.8437,7.31,Sumbe
86,AU,1631672443,63.37,-34.6833,150.8667,13.65,Kiama
75,BR,1631672444,80.89,-7.738,-72.6509,2.51,Rodrigues Alves
1,US,1631672446,78.85,40.0931,-83.018,10.36,Worthington
8,RU,1631672447,53.38,51.273,108.843,4.36,Petrovsk-Zabaykal'skiy
100,MX,1631672448,72.73,17.25,-99.5667,2.66,El Ocotito
15,RU,1631672450,35.71,64.5635,39.8302,12.55,Severodvinsk
92,PH,1631672452,86.09,13.25,120.6667,3.76,Mamburao
90,US,1631672453,71.92,42.587,-82.9199,11.5,Charter Township of Clinton
11,BR,1631672455,74.1,-4.8828,-66.8958,2.68,Carauari
40,JP,1631672456,87.39,26.3544,127.8686,17.27,Gushikawa
81,KZ,1631672457,53.47,51.8,68.3333,8.21,Atbasar
29,NZ,1631672459,49.82,-46.1333,167.6833,8.63,Tuatapere
8,VU,1631672460,82.45,-16.0667,167.3833,12.21,Norsup
100,ID,1631672461,79.05,4.4683,97.9683,2.04,Langsa
75,CA,1631672300,55.58,50.6996,-127.4199,9.22,Port Hardy
90,AU,1631672202,58.96,-31.4333,152.9167,16.75,Port Macquarie
1,US,1631672465,94.08,37.9333,-121.3011,11.5,San Joaquin
20,MY,1631672467,85.93,4.6374,103.4368,3.44,Paka
75,US,1631672468,82.65,34.1478,-119.1951,10.36,Port Hueneme
25,SE,1631672469,37.85,63.1792,14.6357,2.3,Östersund
1,US,1631672267,87.67,42.4165,-122.8345,9.22,Jackson
99,PT,1631672473,64.08,40.1629,-8.3327,0.63,Lata
1,US,1631672474,79.18,37.4636,-122.4286,11.5,Half Moon Bay
2,CO,1631672272,76.42,7.0847,-70.7591,1.72,Arauca
89,GB,1631672478,55.8,57.5058,-1.7981,11.83,Peterhead
98,BD,1631672479,82.26,23.2511,90.8592,6.82,Hājīganj
95,PG,1631672481,77.38,-6.2887,145.8655,6.17,Kainantu
100,RU,1631672482,36.21,62.8629,51.8905,5.59,Sindor
0,AR,1631672458,55.56,-31.732,-60.5238,6.89,Paraná
18,IS,1631672247,50.92,63.4427,-20.2734,16.33,Vestmannaeyjar
75,GT,1631672486,81.36,14.3,-91.9167,5.95,Champerico
21,ML,1631672488,96.75,22.6783,-3.9836,4.99,Taoudenni
99,RU,1631672489,57.31,62.7161,129.6658,2.71,Namtsy
19,RU,1631672491,48.09,60.4667,166.1,9.55,Tilichiki
30,AR,1631672492,54.73,-43.3002,-65.1023,18.88,Rawson
100,NZ,1631672493,55.45,-41.4122,175.5153,6.33,Waipawa
92,JP,1631672495,73.36,38.0833,138.4333,10.42,Ryōtsu-minato
90,CA,1631672300,56.73,50.0163,-125.2446,3.44,Campbell River
96,RU,1631672497,36.95,60.0158,41.0614,7.38,Syamzha
92,ID,1631672374,84.25,-0.9492,100.3543,1.5,Padang
100,BY,1631672500,44.6,52.6333,29.7333,5.53,Forsytheganj
0,SK,1631672501,48.02,49.4079,19.4803,2.95,Námestovo
20,AU,1631672503,77.88,-19.25,146.8,14.97,Townsville
9,BS,1631672504,82.22,26.5412,-77.0636,10.36,Marsh Harbour
87,CA,1631672506,66.58,49.8668,-111.3684,5.75,Bow Island
20,PE,1631672508,60.85,-13.7,-76.2167,1.14,Pisco
88,MX,1631672364,88.57,25.2833,-100.0167,4.56,Ciudad de Allende
75,AU,1631672510,68.02,-30.3833,153.1,21.85,Sawtell
75,JP,1631672512,75.56,32.6881,128.8419,8.05,Fukuechō
50,RU,1631672513,43.63,55.7228,93.7594,9.35,Shalinskoye
